nom,prix,unite,reduction
KIT KAT Gaufrette croustillante enrobée de chocolat au lait,4.49,415g,-60% sur le 2ème
COTE D'OR Nougatti Barres chocolatées au nougat,4.66,270g,-50% sur le 2ème
KIT KAT Gaufrette croustillante enrobée de chocolat au lait saveur noisette,4.48,332g,-60% sur le 2ème
KIT KAT White Barre au chocolat blanc,3.94,332g,-60% sur le 2ème
COTE D'OR Mignonnettes de chocolat noir intense,5.05,240g,-50% sur le 2ème
COTE D'OR Carrés de chocolat au lait aux noisettes entières,4.51,200g,-50% sur le 2ème
COTE D'OR Mignonnettes de chocolat au lait,5.01,240g,-50% sur le 2ème
COTE D'OR Mignonnettes de chocolat noir orange,5.05,240g,-50% sur le 2ème
COTE D'OR Carrés de chocolat noir aux noisettes entières,4.63,200g,-50% sur le 2ème
FERRERO ROCHER Bouchées au chocolat au lait et noisettes,7.85,375g,-50% sur le 2ème
CELEBRATIONS Assortiment de confiseries au chocolat en sachet,3.89,196g,-50% sur le 2ème
"COTE D'OR Bouchées au chocolat au lait, noisettes et amandes",5.84,200g,-50% sur le 2ème
AUCHAN Sucettes parfums citron cerise cola pomme,2.07,180g,Aucune réduction
HOLLYWOOD Green fresh chewing-gums menthe verte,1.71,42g,Aucune réduction
